coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
0.7,162,1.1051193719505712,1.0227461371107673,utmos,nisqa_test_livetalk,mos_extremity
0.6,139,1.103398793752503,1.0217689852889138,utmos,nisqa_test_livetalk,mos_extremity
0.5,116,1.1249397149002756,1.0216066847322818,utmos,nisqa_test_livetalk,mos_extremity
1.0,240,0.6357629618710225,0.6357629618710225,utmos,nisqa_test_p501,mahalanobis
0.9,216,0.6446640417181396,0.634895465616528,utmos,nisqa_test_p501,mahalanobis
0.8,192,0.6409962009464754,0.6357346594049139,utmos,nisqa_test_p501,mahalanobis
0.7,168,0.6338689323918645,0.6369547655549278,utmos,nisqa_test_p501,mahalanobis
0.6,144,0.6261378669808053,0.6385045756959375,utmos,nisqa_test_p501,mahalanobis
0.5,120,0.6565895769149301,0.6336531583537298,utmos,nisqa_test_p501,mahalanobis
1.0,240,0.6357629618710225,0.6357629618710225,utmos,nisqa_test_p501,l2
0.9,216,0.6480643626836736,0.6356100747377832,utmos,nisqa_test_p501,l2
0.8,192,0.6702638481108433,0.6353029811169627,utmos,nisqa_test_p501,l2
0.7,168,0.6953235454490977,0.6349892016310709,utmos,nisqa_test_p501,l2
0.6,144,0.7152149948945206,0.6358447240466453,utmos,nisqa_test_p501,l2
0.5,120,0.7229424690608101,0.6352155182462351,utmos,nisqa_test_p501,l2
1.0,240,0.6357629618710225,0.6357629618710225,utmos,nisqa_test_p501,knn
0.9,216,0.6462217353575623,0.6369253996181925,utmos,nisqa_test_p501,knn
0.8,192,0.6333007336269512,0.637079241910997,utmos,nisqa_test_p501,knn
0.7,168,0.619685345610936,0.6368149392367807,utmos,nisqa_test_p501,knn
0.6,144,0.6086919043204555,0.6364572849166871,utmos,nisqa_test_p501,knn
0.5,120,0.6092718195915403,0.6343815994044759,utmos,nisqa_test_p501,knn
1.0,240,0.6357629618710225,0.6357629618710225,utmos,nisqa_test_p501,mos_extremity
0.9,216,0.6531005969243425,0.636346910243608,utmos,nisqa_test_p501,mos_extremity
0.8,192,0.6691352917418034,0.6340138045203152,utmos,nisqa_test_p501,mos_extremity
0.7,168,0.6949661981531178,0.6357147000367142,utmos,nisqa_test_p501,mos_extremity
0.6,144,0.7298855863897712,0.636099740061507,utmos,nisqa_test_p501,mos_extremity
0.5,120,0.7567912660002313,0.6349272838660213,utmos,nisqa_test_p501,mos_extremity
1.0,200,0.8515482255677249,0.851548225567725,utmos,nisqa_val_live,mahalanobis
0.9,180,0.8795385031300458,0.8521360158039752,utmos,nisqa_val_live,mahalanobis
0.8,160,0.8883234515629554,0.8515102106363108,utmos,nisqa_val_live,mahalanobis
0.7,140,0.8733203232821559,0.851515837997238,utmos,nisqa_val_live,mahalanobis
0.6,120,0.8916856838720159,0.8505405910975731,utmos,nisqa_val_live,mahalanobis
0.5,100,0.8716228260568611,0.851415604482248,utmos,nisqa_val_live,mahalanobis
1.0,200,0.8515482255677249,0.851548225567725,utmos,nisqa_val_live,l2
0.9,180,0.8883318452626843,0.8518020555645509,utmos,nisqa_val_live,l2
0.8,160,0.9295073460111104,0.8527491590666041,utmos,nisqa_val_live,l2
0.7,140,0.9593044344069891,0.8535519614931673,utmos,nisqa_val_live,l2
0.6,120,0.9762222453449217,0.8550115898195573,utmos,nisqa_val_live,l2
0.5,100,0.9582142197352757,0.8532791503641062,utmos,nisqa_val_live,l2
1.0,200,0.8515482255677249,0.851548225567725,utmos,nisqa_val_live,knn
0.9,180,0.868826479316644,0.8521321374761643,utmos,nisqa_val_live,knn
0.8,160,0.8779181501117809,0.8503401782397184,utmos,nisqa_val_live,knn
0.7,140,0.8395959255427851,0.8501463793586467,utmos,nisqa_val_live,knn
0.6,120,0.8248989020873128,0.8550797085044854,utmos,nisqa_val_live,knn
0.5,100,0.8174735938638045,0.8482690240981503,utmos,nisqa_val_live,knn
1.0,200,0.8515482255677249,0.851548225567725,utmos,nisqa_val_live,mos_extremity
0.9,180,0.8837158823411555,0.8518564542997831,utmos,nisqa_val_live,mos_extremity
0.8,160,0.9294610834362851,0.849260264222686,utmos,nisqa_val_live,mos_extremity
0.7,140,0.9637599529136471,0.8505974075692992,utmos,nisqa_val_live,mos_extremity
0.6,120,0.9834004671792888,0.8531465885453935,utmos,nisqa_val_live,mos_extremity
0.5,100,0.959264433307513,0.8468032792123816,utmos,nisqa_val_live,mos_extremity
