model,dataset,seed,method,coverage,mean_width,mean_interval_score,delta_coverage,delta_width,delta_interval_score
utmos,nisqa_test_livetalk,20270843,local_residual_normalized_k10,0.603448275862069,2.1102104751160415,5.463348735035114,-0.06034482758620696,-0.1638290317961899,0.9826713276717491
utmos,nisqa_test_livetalk,20270843,local_residual_mondrian_k25,0.6724137931034483,2.2659687965080657,4.523213989775757,0.008620689655172376,-0.008070710404165737,0.04253658241239133
utmos,nisqa_test_livetalk,20270843,local_residual_normalized_k25,0.6810344827586207,2.2453107318791155,4.637639910236932,0.01724137931034475,-0.028728775033115994,0.15696250287356683
utmos,nisqa_test_livetalk,20270843,local_residual_mondrian_k50,0.7155172413793104,2.3310632705688477,4.408587665393434,0.051724137931034475,0.05702376365661621,-0.0720897419699309
utmos,nisqa_test_livetalk,20270843,local_residual_normalized_k50,0.7025862068965517,2.2980244477278537,4.34828799099768,0.0387931034482758,0.023984940815622302,-0.1323894163656849
utmos,nisqa_test_p501,20270843,mahalanobis_mondrian,0.9208333333333333,2.420087432861328,2.67024751106898,0.0,0.14604792594909677,0.1058105190594989
utmos,nisqa_test_p501,20270843,predicted_mos_mondrian,0.9041666666666667,2.328508162498474,2.694676601886749,-0.016666666666666607,0.05446865558624259,0.13023960987726824
utmos,nisqa_test_p501,20270843,mos_extremity_mondrian,0.9208333333333333,2.295575972398122,2.5229967097441355,0.0,0.0215364654858905,-0.04144028226534546
utmos,nisqa_test_p501,20270843,local_residual_mondrian_k10,0.9041666666666667,2.180795881152153,2.617958359917005,-0.016666666666666607,-0.09324362576007861,0.05352136790752393
utmos,nisqa_test_p501,20270843,local_residual_normalized_k10,0.8666666666666667,2.166404333035117,2.768616919908179,-0.054166666666666585,-0.10763517387711463,0.2041799278986982
utmos,nisqa_test_p501,20270843,local_residual_mondrian_k25,0.8958333333333334,2.2007174561421077,2.614955034852028,-0.02499999999999991,-0.07332205077012377,0.05051804284254713
utmos,nisqa_test_p501,20270843,local_residual_normalized_k25,0.9041666666666667,2.1903554972097066,2.625513928809393,-0.016666666666666607,-0.08368400970252488,0.06107693679991222
utmos,nisqa_test_p501,20270843,local_residual_mondrian_k50,0.9166666666666666,2.1952327768007915,2.601641384760539,-0.004166666666666652,-0.0788067301114399,0.03720439275105791
utmos,nisqa_test_p501,20270843,local_residual_normalized_k50,0.925,2.2086129042323837,2.5679471334445574,0.004166666666666763,-0.06542660267984779,0.0035101414350764415
utmos,nisqa_val_sim,20270844,mahalanobis_mondrian,0.8984,2.2419896709442138,2.9136557476043703,0.007199999999999984,0.04269271965026844,0.04447566528320346
utmos,nisqa_val_sim,20270844,predicted_mos_mondrian,0.9,2.242612279510498,2.813200128173828,0.00880000000000003,0.04331532821655282,-0.055979954147338695
utmos,nisqa_val_sim,20270844,mos_extremity_mondrian,0.892,2.1603167589187624,2.8589562356948854,0.0008000000000000229,-0.03898019237518291,-0.010223846626281397
