model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
nisqa,local_residual_normalized_k50,per_dataset,20,-0.02300000000000002,-0.6526946412923168,-0.5597131938031784,0.11503010710124956,-0.8587253441366047,-0.3847740279695335,1.0,nisqa_val_live
nisqa,mahalanobis_mondrian,per_dataset,20,-0.00500000000000001,-0.3064452376465002,-0.15590800359845164,0.03310928154880472,-0.21884714464346589,-0.09404119352499629,1.0,nisqa_test_for
nisqa,predicted_mos_mondrian,per_dataset,20,0.0022916666666666476,-0.1633753121395905,-0.10469135796030367,0.05321962582838641,-0.19040514330069236,0.0326829602320986,0.95,nisqa_test_for
nisqa,mos_extremity_mondrian,per_dataset,20,-0.0004166666666666763,-0.25071909174323076,-0.0867464601496855,0.06302021677924187,-0.23338885108629848,0.025439646840095254,0.9,nisqa_test_for
nisqa,local_residual_mondrian_k10,per_dataset,20,0.0014583333333333115,-0.36713744600613907,-0.26406975736220684,0.1013877654129775,-0.4191467285156252,-0.050291184584299486,1.0,nisqa_test_for
nisqa,local_residual_normalized_k10,per_dataset,20,-0.0043750000000000126,-0.39638367071259184,-0.21799839576058613,0.10471261701054747,-0.419363686871288,0.003995733151699543,0.95,nisqa_test_for
nisqa,local_residual_mondrian_k25,per_dataset,20,0.006041666666666645,-0.3926940433681011,-0.35460145349303884,0.07779877691511729,-0.5302699098984403,-0.22401768068472538,1.0,nisqa_test_for
nisqa,local_residual_normalized_k25,per_dataset,20,0.0014583333333333226,-0.44468215807997263,-0.36981785359886904,0.07927495702293141,-0.4873909469069284,-0.24432665222217542,1.0,nisqa_test_for
nisqa,local_residual_mondrian_k50,per_dataset,20,0.008958333333333318,-0.39395802875359864,-0.3708340511719387,0.08447446336459036,-0.517106040318807,-0.12499171197414416,1.0,nisqa_test_for
nisqa,local_residual_normalized_k50,per_dataset,20,0.00791666666666666,-0.4424308198746726,-0.3967971480729811,0.05987674216639585,-0.5112675545190095,-0.2953957945138219,1.0,nisqa_test_for
nisqa,mahalanobis_mondrian,per_dataset,20,-0.05905172413793101,-0.5806047758151743,-0.1441493425903649,0.0892900064557536,-0.2225713236578577,0.18415860266521022,0.95,nisqa_test_livetalk
nisqa,predicted_mos_mondrian,per_dataset,20,0.008836206896551757,0.0270416707314294,0.07273615244133716,0.06636453137053831,-0.030362228895055576,0.23285473934535306,0.2,nisqa_test_livetalk
nisqa,mos_extremity_mondrian,per_dataset,20,-0.002801724137931022,-0.01011822007853409,0.06937986951449823,0.05421090654771624,-0.03926499342096257,0.16282124457688196,0.15,nisqa_test_livetalk
nisqa,local_residual_mondrian_k10,per_dataset,20,-0.00818965517241375,-0.13446153196795235,0.0823672705683215,0.07888994704575386,-0.10847240172583472,0.1918063245970627,0.2,nisqa_test_livetalk
nisqa,local_residual_normalized_k10,per_dataset,20,-0.0234913793103448,-0.050634049503556565,0.29375996674960325,0.16569144756485457,-0.044113626256738314,0.5633377733572664,0.05,nisqa_test_livetalk
nisqa,local_residual_mondrian_k25,per_dataset,20,-0.0049568965517241045,-0.12347840620525949,0.07599750803462395,0.049769521677662416,-0.03950002172897582,0.13893993044721675,0.1,nisqa_test_livetalk
nisqa,local_residual_normalized_k25,per_dataset,20,-0.012284482758620652,-0.12063122076988897,0.15331586431727748,0.11314638626989275,-0.04947457484180573,0.41599885349435395,0.05,nisqa_test_livetalk
nisqa,local_residual_mondrian_k50,per_dataset,20,-0.003448275862068928,-0.10949096957157403,0.09757883487076598,0.06965780452924925,-0.0535411526416909,0.24958992929294155,0.05,nisqa_test_livetalk
