model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
nisqa,nisqa_val_sim,local_residual_normalized_k25,mean_width,2.91591215133667,2.805458051109257,-0.11045410022741287,-0.34520697939099365,0.09168332361210842,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k25,mean_interval_score,3.551801847457886,3.342807513241316,-0.20899433421656965,-0.3388856933044214,-0.07136948259988653,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k50,coverage,0.896,0.9224,0.02639999999999998,-0.007200000000000095,0.04800000000000004,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k50,mean_width,2.91591215133667,2.8040536564332577,-0.11185849490341226,-0.33811916128719177,0.03239281354429539,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,local_residual_normalized_k50,mean_interval_score,3.551801847457886,3.315371776377208,-0.2364300710806777,-0.35387372203920414,-0.11246961555457696,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mahalanobis_mondrian,coverage,0.9931372549019608,0.9450980392156862,-0.04803921568627456,-0.0926126396731948,-0.014648080221036587,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mahalanobis_mondrian,mean_width,2.91591215133667,2.142455140983357,-0.7734570103533129,-1.1415061568385325,-0.4061377476136864,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mahalanobis_mondrian,mean_interval_score,2.9288697429731783,2.3811936521062664,-0.5476760908669118,-0.7716280675057463,-0.32599535806443386,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,predicted_mos_mondrian,coverage,0.9931372549019608,0.9872549019607844,-0.00588235294117645,-0.015671294962647214,0.006896721757464476,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,predicted_mos_mondrian,mean_width,2.91591215133667,3.079538118839264,0.16362596750259417,-0.06265448884752481,0.46129481331886063,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,predicted_mos_mondrian,mean_interval_score,2.9288697429731783,3.1025748138334235,0.17370507086024523,-0.03370900359767235,0.46277849429332224,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mos_extremity_mondrian,coverage,0.9931372549019608,0.9823529411764705,-0.010784313725490269,-0.01972386587771202,0.003913894324853229,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mos_extremity_mondrian,mean_width,2.91591215133667,2.8425534196928437,-0.07335873164382622,-0.24120250342623992,0.19628293060645707,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,mos_extremity_mondrian,mean_interval_score,2.9288697429731783,2.8806882002774405,-0.04818154269573771,-0.1968677077306494,0.2069389965857209,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k10,coverage,0.9931372549019608,0.9794117647058823,-0.013725490196078494,-0.043140436115449196,-0.006829268292682933,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k10,mean_width,2.91591215133667,2.629664134044273,-0.2862480172923969,-0.5884336753143721,-0.19047613673199285,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k10,mean_interval_score,2.9288697429731783,2.7358982567693673,-0.192971486203811,-0.44132120613218867,-0.09383440681905374,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k25,coverage,0.9931372549019608,0.9784313725490196,-0.014705882352941235,-0.04340525328330206,-0.004906771344455385,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k25,mean_width,2.91591215133667,2.437855124239828,-0.47805702709684184,-0.7663716077703764,-0.2797538230693342,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k25,mean_interval_score,2.9288697429731783,2.5226605614026387,-0.40620918157053953,-0.6195551291464088,-0.23119953648195032,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k50,coverage,0.9931372549019608,0.9784313725490196,-0.014705882352941235,-0.05425716440422317,-0.0048728212116049855,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k50,mean_width,2.91591215133667,2.406337573481541,-0.5095745778551288,-0.8678215495687674,-0.2370312215356659,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_mondrian_k50,mean_interval_score,2.9288697429731783,2.502648513924842,-0.42622122904833626,-0.6732904780809676,-0.20051556790462233,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k10,coverage,0.9931372549019608,0.9627450980392157,-0.0303921568627451,-0.047244094488189003,-0.01762977473065619,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k10,mean_width,2.91591215133667,2.2713494837572346,-0.6445626675794354,-0.8714466865190552,-0.4669091918402887,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k10,mean_interval_score,2.9288697429731783,2.4569425051221336,-0.4719272378510446,-0.6905777119638603,-0.3235627935114574,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k25,coverage,0.9931372549019608,0.9666666666666667,-0.026470588235294135,-0.04326450344149457,-0.014633789758950235,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k25,mean_width,2.91591215133667,2.2603930446298452,-0.6555191067068247,-0.8692169978105371,-0.4926588975713242,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k25,mean_interval_score,2.9288697429731783,2.399165139723306,-0.5297046032498725,-0.7366561652501944,-0.3957288123156735,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k50,coverage,0.9931372549019608,0.9686274509803922,-0.02450980392156865,-0.043268774369771126,-0.013805687920732135,2000,fixed_difficulty_estimator
nisqa,nisqa_train_live,local_residual_normalized_k50,mean_width,2.91591215133667,2.2559480931970937,-0.6599640581395763,-0.8683249668456936,-0.535941882330099,2000,fixed_difficulty_estimator
