model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,knn,0.3,20270004,nisqa_test_livetalk,750,232,0.9439655172413793,2.7642812728881836,3.034836168946891,0.9396551724137931,2.6088990250538133,2.9842731798517295,-0.004310344827586188,-0.15538224783437027,-0.05056298909516155
dnsmos,knn,0.3,20270004,nisqa_test_p501,750,240,0.8708333333333333,2.7642812728881836,3.2424151798089347,0.8791666666666667,2.7473152339458466,3.252037779490153,0.008333333333333304,-0.016966038942336947,0.009622599681218258
dnsmos,mahalanobis,0.3,20270005,nisqa_val_sim,750,1750,0.8977142857142857,2.728243827819824,3.1571025753021242,0.9074285714285715,2.7516230840682985,3.153311083521162,0.009714285714285786,0.023379256248474256,-0.003791491780962275
dnsmos,mahalanobis,0.3,20270005,nisqa_train_live,750,1020,0.9901960784313726,2.728243827819824,2.755980423852509,0.9872549019607844,2.691173779964447,2.7195661462989507,-0.002941176470588225,-0.037070047855377375,-0.03641427755355853
dnsmos,mahalanobis,0.3,20270005,nisqa_val_live,750,200,1.0,2.728243827819824,2.728243827819824,0.995,2.709450742006302,2.7104794585704806,-0.0050000000000000044,-0.018793085813522126,-0.01776436924934366
dnsmos,mahalanobis,0.3,20270005,nisqa_test_for,750,240,0.9,2.728243827819824,3.2149482369422913,0.8875,2.7310581425825755,3.1826196531454722,-0.012500000000000067,0.002814314762751291,-0.03232858379681902
dnsmos,mahalanobis,0.3,20270005,nisqa_test_livetalk,750,232,0.9439655172413793,2.728243827819824,3.0189921198220087,0.9396551724137931,2.6784086021883735,2.9855542963948745,-0.004310344827586188,-0.04983522563145071,-0.033437823427134195
dnsmos,mahalanobis,0.3,20270005,nisqa_test_p501,750,240,0.8583333333333333,2.728243827819824,3.2563952704270682,0.8666666666666667,2.7465534657239914,3.229878450433413,0.008333333333333415,0.018309637904167175,-0.026516819993655183
dnsmos,l2,0.3,20270005,nisqa_val_sim,750,1750,0.8977142857142857,2.728243827819824,3.1571025753021242,0.8994285714285715,2.7324549625941685,3.149881570543562,0.0017142857142857792,0.004211134774344316,-0.007221004758562355
dnsmos,l2,0.3,20270005,nisqa_train_live,750,1020,0.9901960784313726,2.728243827819824,2.755980423852509,0.984313725490196,2.6788421623847065,2.7130336492669347,-0.005882352941176561,-0.0494016654351177,-0.0429467745855745
dnsmos,l2,0.3,20270005,nisqa_val_live,750,200,1.0,2.728243827819824,2.728243827819824,0.995,2.693311206102371,2.697099713087082,-0.0050000000000000044,-0.03493262171745304,-0.031144114732742256
dnsmos,l2,0.3,20270005,nisqa_test_for,750,240,0.9,2.728243827819824,3.2149482369422913,0.9,2.7411830127239227,3.1948234140872955,0.0,0.01293918490409851,-0.020124822854995728
