model,score,dataset,n_bins,metric,fixed,adaptive,adaptive_minus_fixed,ci_lo,ci_hi,n_boot
nisqa,mahalanobis,nisqa_val_sim,5,coverage,0.9008,0.8944,-0.006400000000000072,-0.021599999999999953,0.01200000000000001,2000
nisqa,mahalanobis,nisqa_val_sim,5,width,2.9129514694213867,2.834394107437134,-0.07855736198425278,-0.16279650565147402,0.02120099054813381,2000
nisqa,mahalanobis,nisqa_val_sim,5,interval_score,3.5259917259216307,3.4755673614501954,-0.05042436447143528,-0.10827759249687176,0.044052775478362984,2000
nisqa,mahalanobis,nisqa_train_live,5,coverage,0.9931372549019608,0.9431372549019608,-0.050000000000000044,-0.08465193624612319,-0.025463985531597882,2000
nisqa,mahalanobis,nisqa_train_live,5,width,2.9129514694213867,2.1550117277631573,-0.7579397416582294,-0.996683429759127,-0.5206919620960975,2000
nisqa,mahalanobis,nisqa_train_live,5,interval_score,2.9261122451109043,2.402344335761725,-0.5237679093491794,-0.6600447712237145,-0.365773814178969,2000
nisqa,mahalanobis,nisqa_val_live,5,coverage,0.995,0.98,-0.015000000000000013,-0.08080808080808077,0.0,2000
nisqa,mahalanobis,nisqa_val_live,5,width,2.9129514694213867,2.144266757965088,-0.7686847114562987,-1.0183004858794824,-0.5165230232812652,2000
nisqa,mahalanobis,nisqa_val_live,5,interval_score,2.9220370650291443,2.2673023080825807,-0.6547347569465636,-0.8715989876609258,-0.4010841780546021,2000
nisqa,mahalanobis,nisqa_test_for,5,coverage,0.9291666666666667,0.9083333333333333,-0.02083333333333337,-0.0708333333333333,0.01666666666666672,2000
nisqa,mahalanobis,nisqa_test_for,5,width,2.9129514694213867,2.5388805508613586,-0.37407091856002816,-0.5748986025899647,-0.19601813753445962,2000
nisqa,mahalanobis,nisqa_test_for,5,interval_score,3.447876423597336,3.2665205538272857,-0.18135586977005014,-0.3885676396389802,0.05990522210796682,2000
nisqa,mahalanobis,nisqa_test_livetalk,5,coverage,0.9353448275862069,0.8405172413793104,-0.09482758620689646,-0.18103448275862066,-0.03448275862068961,2000
nisqa,mahalanobis,nisqa_test_livetalk,5,width,2.9129514694213867,2.205723258955725,-0.7072282104656615,-0.9498590442897945,-0.46212440305228925,2000
nisqa,mahalanobis,nisqa_test_livetalk,5,interval_score,3.185264599734339,3.1193790065831153,-0.06588559315122389,-0.3851968983637874,0.46648397682041953,2000
nisqa,mahalanobis,nisqa_test_p501,5,coverage,0.9708333333333333,0.9041666666666667,-0.06666666666666665,-0.12083333333333335,-0.02083333333333326,2000
nisqa,mahalanobis,nisqa_test_p501,5,width,2.9129514694213867,2.5026010870933533,-0.41035038232803345,-0.6040304901947577,-0.22122391879558584,2000
nisqa,mahalanobis,nisqa_test_p501,5,interval_score,3.043981909751892,2.901845927039782,-0.14213598271211003,-0.3357153973480066,0.15670630007982214,2000
nisqa,l2,nisqa_val_sim,5,coverage,0.9008,0.904,0.0031999999999999806,-0.015199999999999991,0.018399999999999972,2000
nisqa,l2,nisqa_val_sim,5,width,2.9129514694213867,2.874045280456543,-0.03890618896484366,-0.1366423553276061,0.0514624316787715,2000
nisqa,l2,nisqa_val_sim,5,interval_score,3.5259917259216307,3.469247537612915,-0.05674418830871586,-0.11378123125076284,0.029511457605362,2000
nisqa,l2,nisqa_train_live,5,coverage,0.9931372549019608,0.9745098039215686,-0.0186274509803922,-0.03902534298780491,-0.003936911094077836,2000
nisqa,l2,nisqa_train_live,5,width,2.9129514694213867,2.6189392950020585,-0.29401217441932825,-0.45079854548097525,-0.14708819197771164,2000
nisqa,l2,nisqa_train_live,5,interval_score,2.9261122451109043,2.7170000782199932,-0.20911216689091106,-0.3153838135237883,-0.09204874879210315,2000
nisqa,l2,nisqa_val_live,5,coverage,0.995,0.995,0.0,-0.020000000000000018,0.014853332348160194,2000
nisqa,l2,nisqa_val_live,5,width,2.9129514694213867,2.660049409866333,-0.2529020595550535,-0.4261617549261045,-0.11000001764119578,2000
